Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,Toch4Date,Toch4Time,Toch4RequestedTemperature[C],Toch4MeasuredTemperature[C],,
2017217,20:36:7,50,-1,,2017217,20:36:15,50,31.5,,2017217,20:36:25,50,-1,,
2017217,20:36:36,50,-1,,2017217,20:36:41,50,31.5,,2017217,20:36:51,50,-1,,
2017217,20:37:1,50,-1,,2017217,20:37:6,50,31.5,,2017217,20:37:16,50,-1,,
2017217,20:37:26,50,-1,,2017217,20:37:31,50,31.75,,2017217,20:37:41,50,-1,,
2017217,20:37:51,50,-1,,2017217,20:37:56,50,31.5,,2017217,20:38:7,50,-1,,
2017217,20:38:17,50,-1,,2017217,20:38:22,50,31.5,,2017217,20:38:32,50,-1,,
2017217,20:38:42,50,-1,,2017217,20:38:47,50,31.5,,2017217,20:38:57,50,-1,,
2017217,20:39:7,50,-1,,2017217,20:39:12,50,31.5,,2017217,20:39:22,50,-1,,
2017217,20:39:33,50,-1,,2017217,20:39:41,50,31.75,,2017217,20:39:51,50,-1,,
2017217,20:40:1,50,-1,,2017217,20:40:6,50,31.75,,2017217,20:40:16,50,-1,,
2017217,20:40:26,50,-1,,2017217,20:40:31,50,31.75,,2017217,20:40:41,50,-1,,
2017217,20:40:52,50,-1,,2017217,20:40:57,50,31.75,,2017217,20:41:7,50,-1,,
2017217,20:41:17,50,-1,,2017217,20:41:22,50,31.75,,2017217,20:41:32,50,-1,,
2017217,20:41:42,50,-1,,2017217,20:41:47,50,31.75,,2017217,20:41:57,50,-1,,
2017217,20:42:8,50,-1,,2017217,20:42:13,50,31.75,,2017217,20:42:23,50,-1,,
2017217,20:42:33,50,-1,,2017217,20:42:38,50,31.75,,2017217,20:42:48,50,-1,,
2017217,20:42:58,50,-1,,2017217,20:43:3,50,31.5,,2017217,20:43:13,50,-1,,
2017217,20:43:23,50,-1,,2017217,20:43:28,50,31.75,,2017217,20:43:39,50,-1,,
2017217,20:43:49,50,-1,,2017217,20:43:54,50,31.5,,2017217,20:44:4,50,-1,,
2017217,20:44:14,50,-1,,2017217,20:44:19,50,31.5,,2017217,20:44:29,50,-1,,
2017217,20:44:39,50,-1,,2017217,20:44:47,50,31.75,,2017217,20:44:58,50,-1,,
2017217,20:45:8,50,-1,,2017217,20:45:13,50,31.75,,2017217,20:45:23,50,-1,,
2017217,20:45:33,50,-1,,2017217,20:45:38,50,31.75,,2017217,20:45:48,50,-1,,
2017217,20:45:58,50,-1,,2017217,20:46:3,50,31.5,,2017217,20:46:13,50,-1,,
2017217,20:46:24,50,-1,,2017217,20:46:29,50,31.75,,2017217,20:46:39,50,-1,,
2017217,20:46:49,50,-1,,2017217,20:46:54,50,31.75,,2017217,20:47:4,50,-1,,
2017217,20:47:14,50,-1,,2017217,20:47:19,50,31.75,,2017217,20:47:29,50,-1,,
2017217,20:47:40,50,-1,,2017217,20:47:45,50,31.5,,2017217,20:47:55,50,-1,,
2017217,20:48:5,50,-1,,2017217,20:48:10,50,31.5,,2017217,20:48:20,50,-1,,
2017217,20:48:30,50,-1,,2017217,20:48:35,50,31.5,,2017217,20:48:45,50,-1,,
2017217,20:48:55,50,-1,,2017217,20:49:0,50,31.5,,2017217,20:49:11,50,-1,,
2017217,20:49:21,50,-1,,2017217,20:49:29,50,31.5,,2017217,20:49:39,50,-1,,
2017217,20:49:49,50,-1,,2017217,20:49:54,50,31.75,,2017217,20:50:4,50,-1,,
2017217,20:50:14,50,-1,,2017217,20:50:19,50,31.75,,2017217,20:50:30,50,-1,,
2017217,20:50:40,50,-1,,2017217,20:50:45,50,31.75,,2017217,20:50:55,50,-1,,
2017217,20:51:5,50,-1,,2017217,20:51:13,50,31.5,,2017217,20:51:23,50,-1,,
2017217,20:51:33,50,-1,,2017217,20:51:41,50,31.5,,2017217,20:51:52,50,-1,,
2017217,20:52:2,50,-1,,2017217,20:52:7,50,31.75,,2017217,20:52:17,50,-1,,
2017217,20:52:27,50,-1,,2017217,20:52:32,50,31.75,,2017217,20:52:42,50,-1,,
2017217,20:52:52,50,-1,,2017217,20:53:0,50,31.75,,2017217,20:53:10,50,-1,,
2017217,20:53:21,50,-1,,2017217,20:53:26,50,31.75,,2017217,20:53:36,50,-1,,
2017217,20:53:46,50,-1,,2017217,20:53:51,50,31.5,,2017217,20:54:1,50,-1,,
2017217,20:54:11,50,-1,,2017217,20:54:16,50,31.5,,2017217,20:54:26,50,-1,,
2017217,20:54:37,50,-1,,2017217,20:54:42,50,31.5,,2017217,20:54:52,50,-1,,
2017217,20:55:2,50,-1,,2017217,20:55:7,50,31.75,,2017217,20:55:17,50,-1,,
2017217,20:55:27,50,-1,,2017217,20:55:32,50,31.75,,2017217,20:55:42,50,-1,,
2017217,20:55:52,50,-1,,2017217,20:55:57,50,31.75,,2017217,20:56:8,50,-1,,
2017217,20:56:18,50,-1,,2017217,20:56:26,50,31.75,,2017217,20:56:36,50,-1,,
2017217,20:56:46,50,-1,,2017217,20:56:54,50,31.5,,2017217,20:57:4,50,-1,,
2017217,20:57:14,50,-1,,2017217,20:57:19,50,31.75,,2017217,20:57:30,50,-1,,
2017217,20:57:40,50,-1,,2017217,20:57:45,50,31.75,,2017217,20:57:55,50,-1,,
2017217,20:58:5,50,-1,,2017217,20:58:10,50,31.75,,2017217,20:58:20,50,-1,,
2017217,20:58:30,50,-1,,2017217,20:58:38,50,31.5,,2017217,20:58:49,50,-1,,
2017217,20:58:59,50,-1,,2017217,20:59:4,50,31.75,,2017217,20:59:14,50,-1,,
2017217,20:59:24,50,-1,,2017217,20:59:29,50,31.75,,2017217,20:59:39,50,-1,,
2017217,20:59:49,50,-1,,2017217,20:59:54,50,31.75,,2017217,21:0:4,50,-1,,
2017217,21:0:15,50,-1,,2017217,21:0:20,50,31.75,,2017217,21:0:30,50,-1,,
2017217,21:0:40,50,-1,,2017217,21:0:45,50,31.75,,2017217,21:0:55,50,-1,,
2017217,21:1:5,50,-1,,2017217,21:1:13,50,31.75,,2017217,21:1:23,50,-1,,
2017217,21:1:34,50,-1,,2017217,21:1:39,50,31.5,,2017217,21:1:49,50,-1,,
2017217,21:1:59,50,-1,,2017217,21:2:4,50,31.75,,2017217,21:2:14,50,-1,,
2017217,21:2:24,50,-1,,2017217,21:2:29,50,31.75,,2017217,21:2:39,50,-1,,
2017217,21:2:49,50,-1,,2017217,21:2:54,50,31.75,,2017217,21:3:5,50,-1,,
2017217,21:3:15,50,-1,,2017217,21:3:20,50,31.75,,2017217,21:3:30,50,-1,,
2017217,21:3:40,50,-1,,2017217,21:3:45,50,31.75,,2017217,21:3:55,50,-1,,
2017217,21:4:5,50,-1,,2017217,21:4:15,50,-1,,2017217,21:4:26,50,-1,,
2017217,21:4:36,50,-1,,2017217,21:4:41,50,31.75,,2017217,21:4:51,50,-1,,
2017217,21:5:1,50,-1,,2017217,21:5:6,50,31.75,,2017217,21:5:16,50,-1,,
2017217,21:5:26,50,-1,,2017217,21:5:31,50,31.75,,2017217,21:5:42,50,-1,,
2017217,21:5:52,50,-1,,2017217,21:6:0,50,31.75,,2017217,21:6:10,50,-1,,
2017217,21:6:20,50,-1,,2017217,21:6:25,50,31.75,,2017217,21:6:35,50,-1,,
2017217,21:6:45,50,-1,,2017217,21:6:50,50,31.75,,2017217,21:7:0,50,-1,,
2017217,21:7:11,50,-1,,2017217,21:7:16,50,31.5,,2017217,21:7:26,50,-1,,
2017217,21:7:36,50,-1,,2017217,21:7:41,50,31.5,,2017217,21:7:51,50,-1,,
2017217,21:8:1,50,-1,,2017217,21:8:6,50,31.75,,2017217,21:8:16,50,-1,,
2017217,21:8:27,50,-1,,2017217,21:8:35,50,31.75,,2017217,21:8:45,50,-1,,
2017217,21:8:55,50,-1,,2017217,21:9:0,50,31.75,,2017217,21:9:10,50,-1,,
2017217,21:9:20,50,-1,,2017217,21:9:25,50,31.75,,2017217,21:9:35,50,-1,,
2017217,21:9:45,50,-1,,2017217,21:9:50,50,31.75,,2017217,21:10:1,50,-1,,
2017217,21:10:10,50,-1,,2017217,21:10:15,50,31.75,,2017217,21:10:25,50,-1,,
2017217,21:10:35,50,-1,,2017217,21:10:40,50,31.5,,2017217,21:10:50,50,-1,,
2017217,21:11:0,50,-1,,2017217,21:11:5,50,31.75,,2017217,21:11:15,50,-1,,
